,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
317080,600590,2015,10,15,2015-10-15,12:45:00,3,MI,26,0,0.75,0,0,0.0,0.0,46.49,-87.21,46.49,-87.21,0,0,0,0,0,103,0,0,0
317081,600591,2015,10,15,2015-10-15,13:15:00,3,MI,26,0,0.88,0,0,0.0,0.0,45.79,-87.9,45.79,-87.9,0,0,0,0,0,43,0,0,0
317082,605661,2015,10,15,2015-10-15,14:45:00,3,MI,26,0,1.0,0,0,0.0,0.0,44.41,-85.26,44.41,-85.26,0,0,0,0,0,113,0,0,0
317083,599803,2015,10,15,2015-10-15,16:35:00,3,CA,6,0,1.75,0,0,0.0,0.0,34.6177,-118.301,34.6172,-118.297,0,0,0,0,0,37,0,0,0
317084,599804,2015,10,15,2015-10-15,17:45:00,3,CA,6,0,1.0,0,0,0.0,0.0,34.5841,-118.128,34.5717,-118.1,0,0,0,0,0,37,0,0,0
317085,599805,2015,10,15,2015-10-15,17:52:00,3,CA,6,0,1.0,0,0,0.0,0.0,34.6031,-118.132,34.6021,-118.124,0,0,0,0,0,37,0,0,0
317086,602925,2015,10,18,2015-10-18,12:30:00,3,NV,32,0,1.0,0,0,0.0,0.0,37.62,-114.51,37.62,-114.51,0,0,0,0,0,17,0,0,0
317087,605423,2015,10,18,2015-10-18,15:04:00,3,AZ,4,0,1.0,0,0,0.0,0.0,32.355,-111.051,32.3787,-111.04,0,0,0,0,0,19,0,0,0
317088,600225,2015,10,18,2015-10-18,15:30:00,3,AZ,4,0,0.75,0,0,0.0,0.0,32.88,-111.97,32.88,-111.97,0,0,0,0,0,21,0,0,0
317089,600230,2015,10,18,2015-10-18,16:58:00,3,AZ,4,0,1.25,0,0,0.0,0.0,33.56,-112.18,33.56,-112.18,0,0,0,0,0,13,0,0,0
317090,600226,2015,10,18,2015-10-18,17:00:00,3,AZ,4,0,1.25,0,0,0.0,0.0,33.6,-112.16,33.6,-112.16,0,0,0,0,0,13,0,0,0
317091,600235,2015,10,18,2015-10-18,17:10:00,3,AZ,4,0,1.5,0,0,0.005,0.0,33.54,-112.19,33.54,-112.19,0,0,0,0,0,13,0,0,0
317092,600231,2015,10,18,2015-10-18,17:20:00,3,AZ,4,0,1.0,0,0,0.0,0.0,33.72,-112.16,33.72,-112.16,0,0,0,0,0,13,0,0,0
317093,602939,2015,10,18,2015-10-18,17:43:00,3,NV,32,0,1.25,0,0,0.0,0.0,36.6106,-114.484,36.6106,-114.484,0,0,0,0,0,3,0,0,0
317094,602824,2015,10,18,2015-10-18,20:40:00,3,AZ,4,0,0.75,0,0,0.0,0.0,35.1097,-114.61,35.1097,-114.61,0,0,0,0,0,15,0,0,0
317095,602825,2015,10,18,2015-10-18,21:06:00,3,AZ,4,0,1.5,0,0,0.0,0.0,35.22,-114.255,35.22,-114.131,0,0,0,0,0,15,0,0,0
317096,599584,2015,10,19,2015-10-19,07:12:00,3,NM,35,0,1.0,0,0,0.0,0.0,34.0308,-106.893,34.0308,-106.893,0,0,0,0,0,53,0,0,0
317097,599585,2015,10,19,2015-10-19,07:18:00,3,NM,35,0,1.25,0,0,0.0,0.0,34.041,-106.889,34.041,-106.889,0,0,0,0,0,53,0,0,0
317098,599596,2015,10,19,2015-10-19,15:13:00,3,NM,35,0,0.88,0,0,0.0,0.0,34.66,-106.78,34.66,-106.78,0,0,0,0,0,61,0,0,0
317099,599586,2015,10,19,2015-10-19,15:41:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.38,-104.69,33.38,-104.69,0,0,0,0,0,5,0,0,0
317100,599588,2015,10,19,2015-10-19,15:53:00,3,NM,35,0,0.88,0,0,0.0,0.0,34.95,-104.34,34.95,-104.34,0,0,0,0,0,19,0,0,0
317101,599587,2015,10,19,2015-10-19,16:04:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.37,-104.7,33.37,-104.7,0,0,0,0,0,5,0,0,0
317102,599589,2015,10,19,2015-10-19,19:15:00,3,NM,35,0,0.88,0,0,0.0,0.0,35.89,-106.31,35.89,-106.31,0,0,0,0,0,28,0,0,0
317103,599590,2015,10,19,2015-10-19,19:30:00,3,NM,35,0,0.88,0,0,0.0,0.0,35.89,-106.31,35.89,-106.31,0,0,0,0,0,28,0,0,0
317104,599608,2015,10,19,2015-10-19,19:53:00,3,NM,35,0,1.0,0,0,0.0,0.0,35.9693,-106.108,35.9693,-106.108,0,0,0,0,0,39,0,0,0
317105,605424,2015,10,20,2015-10-20,10:45:00,3,AZ,4,0,0.88,0,0,0.0,0.0,32.7756,-109.716,32.7756,-109.716,0,0,0,0,0,9,0,0,0
317106,599617,2015,10,20,2015-10-20,11:11:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.28,-108.87,33.28,-108.87,0,0,0,0,0,3,0,0,0
317107,599616,2015,10,20,2015-10-20,11:11:00,3,NM,35,0,1.75,0,0,0.0,0.0,33.27,-108.88,33.27,-108.88,0,0,0,0,0,3,0,0,0
317108,605425,2015,10,20,2015-10-20,11:12:00,3,AZ,4,0,1.25,0,0,0.0,0.0,31.88,-109.66,31.88,-109.66,0,0,0,0,0,3,0,0,0
317109,599621,2015,10,20,2015-10-20,11:13:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.32,-108.88,33.32,-108.88,0,0,0,0,0,3,0,0,0
317110,603435,2015,10,20,2015-10-20,11:13:00,3,AZ,4,0,1.5,0,0,0.0,0.0,35.24,-110.73,35.3545,-110.674,0,0,0,0,0,17,0,0,0
317111,599619,2015,10,20,2015-10-20,11:15:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.32,-108.88,33.32,-108.88,0,0,0,0,0,3,0,0,0
317112,599618,2015,10,20,2015-10-20,11:17:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.31,-108.88,33.31,-108.88,0,0,0,0,0,3,0,0,0
317113,599620,2015,10,20,2015-10-20,11:24:00,3,NM,35,0,1.0,0,0,0.0,0.0,33.4,-108.8,33.4,-108.8,0,0,0,0,0,3,0,0,0
317114,600773,2015,10,20,2015-10-20,11:35:00,3,AZ,4,0,0.88,0,0,0.0,0.0,33.72,-112.15,33.72,-112.15,0,0,0,0,0,13,0,0,0
