,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
0,2020,5,22,2020-05-22,17:40:00,5.33,34.08,-98.56,KFDR,47.49421803809776,2020-05-22 17:40:00,64.0,41.9,4.9375,2.0,-1.9375,0.97,0.2083333283662796,17858,2646,40,0.14816059129850495,0.01511144692104269,6.875,1
1,2017,5,27,2017-05-27,20:07:00,4.0,34.99,-97.45,KTLX,40.49804743329911,2017-05-27 20:07:00,62.0,40.8,4.9375,2.0,-1.9375,0.97,0.2083333283662796,12891,960,3,0.07446478436239529,0.003121748178980229,6.875,1
2,2012,6,12,2012-06-12,21:15:00,4.5,34.1595,-103.355,KFDX,56.59808141855549,2012-06-12 21:15:00,70.5,42.3,4.9375,2.2,-1.9375,0.96,0.2150000035762787,2935,733,152,0.24965940054495914,0.20708446866485014,6.875,1
3,2017,6,15,2017-06-15,18:15:00,4.0,37.05,-98.48,KVNX,47.04438833938191,2017-06-15 18:15:00,64.0,43.0,4.9375,2.0,-1.9375,0.94,0.2083333283662796,10853,2245,89,0.2068361894232541,0.0396260017809439,6.875,1
4,2019,5,23,2019-05-23,17:43:00,4.25,38.42,-81.47,KRLX,25.590417252997483,2019-05-23 17:43:00,66.5,45.4,4.9375,2.3,-1.9375,0.95,0.2083333283662796,3470,1161,121,0.334485738980121,0.10413080895008606,6.875,1
5,2013,6,21,2013-06-21,07:05:00,4.25,43.6163,-102.982,KUDX,56.3795094243716,2013-06-21 07:05:00,67.5,41.2,4.9375,1.7,-1.9375,0.98,0.2083333283662796,8752,1741,210,0.19890323317719638,0.12055109070034443,6.875,1
6,2014,7,27,2014-07-27,13:55:00,4.25,37.16,-83.55,KJKL,51.60619405878281,2014-07-27 13:55:00,73.5,41.3,4.9375,1.4,-1.9375,0.98,0.2083333283662796,12112,1310,178,0.10814827045323207,0.13577421815408086,6.875,1
7,2015,6,1,2015-06-01,18:55:00,4.5,44.23,-103.39,KUDX,47.49669732355498,2015-06-01 18:55:00,71.0,43.0,4.9375,2.0,-1.9375,0.94,0.2083333283662796,7714,1859,279,0.24095917044718082,0.15,6.875,1
8,2020,8,23,2020-08-23,16:30:00,4.0,45.91,-98.68,KABR,55.58597215070164,2020-08-23 16:30:00,66.5,42.2,4.9375,3.0,-1.9375,0.92,0.2083333283662796,6333,1136,50,0.17934954215345753,0.04397537379067722,6.875,1
9,2016,7,7,2016-07-07,18:56:00,4.25,39.8434,-101.5966,KGLD,55.24705863788271,2016-07-07 18:56:00,62.5,43.3,4.9375,2.4,-1.75,0.95,0.2083333283662796,3352,880,44,0.262451535937966,0.049943246311010214,6.6875,1
10,2014,6,14,2014-06-14,20:34:00,4.25,40.56,-98.35,KUEX,27.501094875341504,2014-06-14 20:34:00,73.5,44.0,4.9375,2.1,-1.9375,0.95,0.2083333283662796,13299,3749,516,0.2818796992481203,0.1376,6.875,1
11,2015,8,2,2015-08-02,13:24:00,4.0,44.78,-88.06,KGRB,32.46942905632297,2015-08-02 13:24:00,64.0,43.2,4.9375,2.3,-1.9375,0.96,0.2083333283662796,5950,1332,39,0.2238279280793144,0.029257314328582147,6.875,1
